ncalls,tottime,percall,cumtime,percall,file_path
16,2.459e-06,1.537e-07,2.459e-06,1.537e-07,~:0(<method 'append' of 'list' objects>)
8,1.583e-06,1.979e-07,1.583e-06,1.979e-07,~:0(<method 'pop' of 'list' objects>)
4,1.084e-06,2.71e-07,1.084e-06,2.71e-07,~:0(<method 'remove' of 'list' objects>)
8,6.166e-06,7.708e-07,6.166e-06,7.708e-07,~:0(<method 'index' of 'list' objects>)
12,3.792e-06,3.16e-07,3.792e-06,3.16e-07,~:0(<built-in method from_bytes>)
27442,0.003615,1.317e-07,0.003615,1.317e-07,~:0(<method 'get' of 'dict' objects>)
46,1.129e-05,2.453e-07,1.129e-05,2.453e-07,~:0(<method 'pop' of 'dict' objects>)
360,0.0001232,3.422e-07,0.0001232,3.422e-07,~:0(<method 'items' of 'dict' objects>)
4,1.248e-06,3.12e-07,1.248e-06,3.12e-07,~:0(<built-in method __new__ of type object at 0x104a072b0>)
28,3.404e-05,1.216e-06,3.404e-05,1.216e-06,~:0(<method 'split' of 'str' objects>)
39,9.999e-06,2.564e-07,9.999e-06,2.564e-07,~:0(<method 'join' of 'str' objects>)
8,2.335e-06,2.919e-07,2.335e-06,2.919e-07,~:0(<method 'rfind' of 'str' objects>)
56,6.543e-06,1.168e-07,6.543e-06,1.168e-07,~:0(<method 'rstrip' of 'str' objects>)
24,5.708e-06,2.378e-07,5.708e-06,2.378e-07,~:0(<method 'rpartition' of 'str' objects>)
25,2.754e-05,1.102e-06,2.754e-05,1.102e-06,~:0(<method 'startswith' of 'str' objects>)
4,1.208e-06,3.02e-07,1.208e-06,3.02e-07,~:0(<method 'endswith' of 'str' objects>)
11,0.0002765,2.513e-05,0.0003248,2.953e-05,~:0(<built-in method builtins.__build_class__>)
7,2.275e-05,3.25e-06,0.001732,0.0002474,~:0(<built-in method builtins.__import__>)
5/1,6e-05,6e-05,19.9,19.9,~:0(<built-in method builtins.exec>)
19463/19445,0.00217,1.116e-07,0.00218,1.121e-07,~:0(<built-in method builtins.getattr>)
134,8.863e-05,6.614e-07,0.002602,1.941e-05,~:0(<built-in method builtins.hasattr>)
60624,0.007863,1.297e-07,0.007863,1.297e-07,~:0(<built-in method builtins.isinstance>)
22006,0.002222,1.01e-07,0.002222,1.01e-07,~:0(<built-in method builtins.len>)
60,4.554e-05,7.59e-07,5.329e-05,8.882e-07,~:0(<built-in method builtins.max>)
20,0.0001521,7.604e-06,0.0001521,7.604e-06,~:0(<built-in method builtins.min>)
509,0.009377,1.842e-05,0.009377,1.842e-05,~:0(<built-in method builtins.print>)
7,7.71e-06,1.101e-06,7.71e-06,1.101e-06,~:0(<built-in method builtins.setattr>)
20,2.54e-06,1.27e-07,2.54e-06,1.27e-07,~:0(<built-in method _imp.acquire_lock>)
20,1.958e-06,9.79e-08,1.958e-06,9.79e-08,~:0(<built-in method _imp.release_lock>)
4,2.583e-06,6.458e-07,2.583e-06,6.458e-07,~:0(<built-in method _imp.find_frozen>)
4,2.415e-06,6.038e-07,2.415e-06,6.038e-07,~:0(<built-in method _imp.is_builtin>)
4,1.334e-06,3.335e-07,1.334e-06,3.335e-07,~:0(<built-in method _imp._fix_co_filename>)
4,0.0002037,5.093e-05,0.0002037,5.093e-05,~:0(<built-in method marshal.loads>)
1,4.917e-06,4.917e-06,4.917e-06,4.917e-06,~:0(<built-in method sys.exit>)
12,7.904e-05,6.587e-06,7.904e-05,6.587e-06,~:0(<built-in method posix.stat>)
12,1.542e-06,1.285e-07,1.542e-06,1.285e-07,~:0(<built-in method posix.fspath>)
4,0.0001468,3.671e-05,0.0001468,3.671e-05,~:0(<built-in method _io.open_code>)
4,1.642e-05,4.104e-06,1.642e-05,4.104e-06,~:0(<method '__exit__' of '_io._IOBase' objects>)
4,0.000592,0.000148,0.000592,0.000148,~:0(<method 'read' of '_io.BufferedReader' objects>)
4,1.542e-06,3.855e-07,1.542e-06,3.855e-07,~:0(<built-in method _thread.allocate_lock>)
8,1.208e-06,1.51e-07,1.208e-06,1.51e-07,~:0(<built-in method _thread.get_ident>)
21,1.904e-05,9.067e-07,1.904e-05,9.067e-07,~:0(<method 'acquire' of '_thread.RLock' objects>)
21,6.293e-06,2.997e-07,6.293e-06,2.997e-07,~:0(<method 'release' of '_thread.RLock' objects>)
8,1.458e-06,1.823e-07,1.458e-06,1.823e-07,~:0(<method '__exit__' of '_thread.RLock' objects>)
345,0.0001884,5.461e-07,0.0001884,5.461e-07,~:0(<built-in method time.time>)
4,1.792e-06,4.48e-07,1.792e-06,4.48e-07,~:0(<built-in method _weakref._remove_dead_weakref>)
4,4.166e-06,1.042e-06,4.166e-06,1.042e-06,<frozen importlib._bootstrap>:48(_new_module)
4,4.668e-06,1.167e-06,5.916e-06,1.479e-06,<frozen importlib._bootstrap>:74(__new__)
4,2.792e-06,6.98e-07,2.792e-06,6.98e-07,<frozen importlib._bootstrap>:79(__init__)
4,3.165e-06,7.913e-07,4.957e-06,1.239e-06,<frozen importlib._bootstrap>:82(remove)
4,7.25e-06,1.813e-06,1.596e-05,3.99e-06,<frozen importlib._bootstrap>:124(setdefault)
4,4.58e-07,1.145e-07,4.58e-07,1.145e-07,<frozen importlib._bootstrap>:158(__init__)
4,3.958e-06,9.895e-07,2.058e-05,5.146e-06,<frozen importlib._bootstrap>:162(__enter__)
4,2.082e-06,5.205e-07,3.166e-06,7.915e-07,<frozen importlib._bootstrap>:173(__exit__)
4,4.833e-06,1.208e-06,6.375e-06,1.594e-06,<frozen importlib._bootstrap>:232(__init__)
4,1.504e-05,3.761e-06,4.571e-05,1.143e-05,<frozen importlib._bootstrap>:304(acquire)
4,7.084e-06,1.771e-06,1.033e-05,2.583e-06,<frozen importlib._bootstrap>:372(release)
4,5e-07,1.25e-07,5e-07,1.25e-07,<frozen importlib._bootstrap>:412(__init__)
4,5e-06,1.25e-06,7.125e-05,1.781e-05,<frozen importlib._bootstrap>:416(__enter__)
4,2.667e-06,6.668e-07,1.3e-05,3.25e-06,<frozen importlib._bootstrap>:420(__exit__)
4,2.583e-06,6.458e-07,4.25e-06,1.062e-06,<frozen importlib._bootstrap>:445(cb)
4,1.267e-05,3.167e-06,2.054e-05,5.136e-06,<frozen importlib._bootstrap>:426(_get_module_lock)
8,3.001e-06,3.751e-07,0.0002267,2.834e-05,<frozen importlib._bootstrap>:480(_call_with_frames_removed)
28,4.46e-06,1.593e-07,4.46e-06,1.593e-07,<frozen importlib._bootstrap>:491(_verbose_message)
4,1.208e-06,3.02e-07,1.208e-06,3.02e-07,<frozen importlib._bootstrap>:599(__init__)
8,2.75e-06,3.438e-07,4.283e-05,5.354e-06,<frozen importlib._bootstrap>:632(cached)
4,1.291e-06,3.228e-07,2.083e-06,5.208e-07,<frozen importlib._bootstrap>:645(parent)
4,3.74e-07,9.35e-08,3.74e-07,9.35e-08,<frozen importlib._bootstrap>:653(has_location)
4,1.005e-05,2.512e-06,5.992e-05,1.498e-05,<frozen importlib._bootstrap>:733(_init_module_attrs)
4,6.499e-06,1.625e-06,7.3e-05,1.825e-05,<frozen importlib._bootstrap>:806(module_from_spec)
4,8.626e-06,2.157e-06,0.001383,0.0003458,<frozen importlib._bootstrap>:911(_load_unlocked)
4,1.793e-06,4.483e-07,4.208e-06,1.052e-06,<frozen importlib._bootstrap>:982(find_spec)
4,1.706e-06,4.265e-07,5.832e-06,1.458e-06,<frozen importlib._bootstrap>:1128(find_spec)
12,1.626e-06,1.355e-07,2.583e-06,2.152e-07,<frozen importlib._bootstrap>:1222(__enter__)
12,2.082e-06,1.735e-07,3.166e-06,2.638e-07,<frozen importlib._bootstrap>:1226(__exit__)
4,1.905e-05,4.761e-06,0.0001935,4.836e-05,<frozen importlib._bootstrap>:1240(_find_spec)
4,1.65e-05,4.125e-06,0.001601,0.0004002,<frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
